Nome de uma definição de BAdI;Ponto de ampliação;Descrição;
/ACCGO/BADI_CMM_MTM_PRECHECK;/ACCGO/ES_CMM_MTM_PRECHECK;Verificar relevância de risco;
/ACCGO/BADI_CMMDTY_FOR_MATNR;/ACCGO/ES_CMMDTY_FOR_MATNR;BAdI: chamar mercadoria para material;
/ACCGO/BADI_CRDLMT_DISP;/ACCGO/ES_BP_CRDLMT_DISP;BAdI para exibição de limite de crédito;
/ACCGO/BADI_CS_TRD_OFC_EXT;/ACCGO/CAK_ES_TRADE_OFFICE;BAdI para tornar escritório comercial obrigatório/opcional;
/ACCGO/BADI_CUSTOM_TAB;/ACCGO/FEE_ES;;
/ACCGO/BADI_DFW_ENH;/ACCGO/ES_DFW_CUST_ENH;BAdI para ampliação de centro de trabalho de fluxo de docume;
/ACCGO/BADI_DGR_BATCH_UPDATE;/ACCGO/ES_DGR_BATCH_UPDATE;BAdI: atualização de lotes DGR;
/ACCGO/BADI_DGR_CREATE_PH_NODE;/ACCGO/ES_DGR_DEND;BAdI criar nó de HP para configuração de instantâneo;
/ACCGO/BADI_DGR_GM_CHANGE_ITEM;/ACCGO/ES_DGR_GM_CHANGE_ITEM;Processar e converter item de modificação MM - serviços de p;
/ACCGO/BADI_DGR_MAP_DEND_KEY;/ACCGO/ES_DGR_DEND;BADI para mapeamento chave encerramento dia PDD para estrutu;
/ACCGO/BADI_DGR_SELECT_EODDATA;/ACCGO/ES_DGR_EOD_TIMESTAMP;BAdI para obter registros da hora fim do dia DGR;
/ACCGO/BADI_DGR_VALIDATE_FWD;/ACCGO/ES_DGR_PROCESSING;BAdI para validar processo de transmissão DGR;
/ACCGO/BADI_DOC_TYPE;/ACCGO/ES_NOMWITHOUTREF;BAdI para chamar tipo de documento;
/ACCGO/BADI_DPQS_CUST_SCR;/ACCGO/CMN_ES_CAS_APPL_PROCESS;BAdI para subtela de cliente em ficha de registro PQPD no ní;
/ACCGO/BADI_FEE_PRICING_LOT_DT;/ACCGO/FEE_ES;BAdI para sobregravar data status lote determinação preços;
/ACCGO/BADI_FEE_VALIDITY;/ACCGO/FEE_ES;BAdI para sobregravar data de validade para documentos de lo;
/ACCGO/BADI_FREIGHT_DATA;/ACCGO/FREIGHT_ES;BAdI para preencher dados de frete e frete líquido;
/ACCGO/BADI_GET_VLOGP_KONVD;/ACCGO/ES_NETDRY_REPORTS;BAdI para obter dados para reports Netdry;
/ACCGO/BADI_IPT_TERMS_VALIDATE;/ACCGO/CAK_ES_IPT_VALIDATIONS;Definição de BAdI para validar condições de tipo de preço pr;
/ACCGO/BADI_KONVD_SELECT_DATA;/ACCGO/ES_KONVD_SELECT;;
/ACCGO/BADI_LDC_CRT_CHG_API;/ACCGO/ES_VEHICLE_CONTRACTS;Definição de BAdI para API Criar, modificar EDC;
/ACCGO/BADI_LDC_SCREEN_ENH;/ACCGO/ES_VEHICLE_CONTRACTS;Definição de BAdI para ampliações de tela EDC;
/ACCGO/BADI_LDC_SKIPVALIDATION;/ACCGO/ES_LDC_SKIPVALIDATION;BAdI: EDC Ignorar verificação de validação;
